repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language,Language Frequency
thepranaygupta/Data-Structures-and-Algorithms,616,256,7,17,111,Java,44
sukritishah15/DS-Algo-Point,956,289,142,16,186,Java,44
google/addlicense,530,143,18,16,36,Go,15
WhiteHouse/petitions,0,353,65,16,25,JavaScript,253
rogeriopvl/gulp-ejs,86,34,2,16,16,JavaScript,253
adrianhajdin/project_cryptoverse,0,298,49,16,2,JavaScript,253
vikhyatsingh123/SlugTerra,15,88,7,15,64,JavaScript,253
wellington1993/avaliacao_desenvolvedor,1,70,22,15,0,Ruby,28
wellington1993/avaliacao_desenvolvedor,1,70,22,15,0,Ruby,28
feross/buffer,0,214,24,14,62,JavaScript,253
garimasingh128/awesome-python-projects,440,127,27,14,30,Jupyter Notebook,29
donnemartin/gitsome,0,460,43,14,28,Python,155
kameshsampath/ansible-role-kind,1,2,3,14,2,Jinja,5
kameshsampath/ansible-role-kind,1,2,3,14,2,Jinja,5
AnmolTomer/ejs_projects,2,0,1,14,2,JavaScript,253
vicky002/AlgoWiki,0,0,17,13,194,CSS,37
btholt/complete-intro-to-react-v7,528,125,6,13,13,JavaScript,253
donnemartin/data-science-ipython-notebooks,0,0,11,13,12,Python,155
antonmedv/expr,0,216,41,12,33,Go,15
anuraghazra/anuraghazra.github.io,405,166,8,12,7,JavaScript,253
openfoodfacts/community-portal,3,2,10,12,6,Python,155
openfoodfacts/fastlane-descriptions-smoothie,0,0,13,12,4,Ruby,28
jgthms/bulma-versions,7,4,2,12,0,HTML,72
jgthms/bulma-versions,7,4,2,12,0,HTML,72
ethereum/beacon-APIs,190,106,24,11,25,HTML,72
btholt/complete-intro-to-react,0,961,25,11,15,JavaScript,253
WhiteHouse/datacenters,21,39,6,11,11,JavaScript,253
btholt/complete-intro-to-databases,147,55,1,11,10,JavaScript,253
torvalds/uemacs,898,188,8,11,7,C,26
kdeldycke/kevin-deldycke-blog,34,15,3,11,5,Python,155
btholt/complete-intro-to-react-v4,0,264,2,11,4,JavaScript,253
btholt/algorithms-exercises,135,374,4,11,3,JavaScript,253
trailofbits/algo,0,0,115,10,163,Jinja,5
kdeldycke/mail-deduplicate,127,34,6,10,18,Python,155
donnemartin/dev-setup,0,0,23,10,16,Python,155
openfoodfacts/off-nutrition-table-extractor,172,66,9,10,8,Jupyter Notebook,29
bradtraversy/alexis_speech_assistant,261,177,17,10,6,Python,155
dwij2812/Accord-Checkout,0,0,1,10,3,HTML,72
adrianhajdin/portfolio_website,0,421,7,10,2,JavaScript,253
florinpop17/10-projects-10-hours,0,589,4,10,0,JavaScript,253
EddieHubCommunity/awesome-github-profiles,925,612,51,9,434,HTML,72
education/teachers_pet,184,74,26,9,9,Ruby,28
jgthms/bulma-start,269,72,9,9,2,CSS,37
jgthms/bulma-start,269,72,9,9,2,CSS,37
google/abstracttext,70,11,8,9,2,JavaScript,253
savannahar68/ClipboardHistory,4,2,2,9,2,JavaScript,253
xoreaxeaxeax/sandsifter,0,398,53,9,0,Python,155
SauravMukherjee44/CodeIN-Community-Website,70,142,34,8,65,HTML,72
shradha-khapra/software-product-sprint-2020,8,1,1,8,16,Java,44
openfoodfacts/folksonomy_api,7,5,10,8,5,Python,155
ritwickdey/live-server-web-extension,598,237,56,8,3,JavaScript,253
ritwickdey/live-server-web-extension,598,237,56,8,3,JavaScript,253
cheeaun/busrouter-sg,281,97,7,8,2,JavaScript,253
vivekweb2013/toastmaker,43,11,2,8,2,JavaScript,253
bradtraversy/breakout_desktop_nw,83,27,1,8,0,JavaScript,253
mikenikles/deno-sapper-cloud-run,7,1,1,8,0,JavaScript,253
vasu-1/CalcHub,49,128,5,7,49,JavaScript,253
vasu-1/CalcHub,49,128,5,7,49,JavaScript,253
PawanKolhe/C-Algorithms,59,52,2,7,36,C,26
nayyyhaa/C-codes,5,32,2,7,28,C++,29
marcel-dempers/docker-development-youtube-series,0,0,5,7,21,Go,15
kdeldycke/meta-package-manager,272,27,18,7,15,Python,155
HarshCasper/AllNotes,36,30,12,7,14,JavaScript,253
openfoodfacts/api-documentation,11,7,48,7,10,HTML,72
google/acme,382,55,16,7,10,Go,15
google/adb-sync,0,156,21,7,7,Python,155
davglass/doorbot,315,59,18,7,6,JavaScript,253
ethereum/btcrelay,564,174,15,7,6,Python,155
mitsuhiko/classy,268,43,6,7,4,Python,155
bradtraversy/apex-legends-tracker,127,21,3,7,2,Vue,2
PawanKolhe/color-calendar,130,58,20,7,0,TypeScript,37
ethereum/clrfund,22,76,9,7,0,TypeScript,37
Dashon-Hawkins/calculator-app,0,0,1,7,0,JavaScript,253
vikhyatsingh123/Naruto-Shippuden,85,466,3,6,259,HTML,72
felangel/bloc,0,0,85,6,169,Dart,36
EddieHubCommunity/EddieBot,119,129,16,6,82,TypeScript,37
google/accompanist,0,389,59,6,75,Kotlin,7
rrousselGit/freezed,0,169,61,6,73,Dart,36
localstack/docs,21,32,28,6,44,SCSS,4
WhiteHouse/CIOmanagement,14,28,4,6,15,SCSS,4
jgthms/bulma-website,40,35,14,6,12,CSS,37
jgthms/bulma-website,40,35,14,6,12,CSS,37
donnemartin/saws,0,278,30,6,8,Python,155
mattgallagher/AudioStreamer,0,566,75,6,7,Objective-C,8
Anishde85/sociocom,2,5,2,6,6,HTML,72
WhiteHouse/fortyfour,339,58,15,6,5,CSS,37
